在哪	情境	現在的字	現在字數	建議的字	建議字數	為什麼改
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:264	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	我是用電話通知的(標記已處理)	13	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:162	訂單詳情頁「退款(對帳異常)」那一區	⚠️ 這張單的退款登記	8	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:164	訂單詳情頁「退款(對帳異常)」那一區	——請確認strong兩件事strong:①退款金額有沒有打錯 ②這張單的收款有沒有登錄齊全	28	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:165	訂單詳情頁「退款(對帳異常)」那一區	(少記一筆收款,上限就會變小)。登記已經記下來了,沒有被擋掉。	25	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:166	訂單詳情頁「退款(對帳異常)」那一區	strong若這筆退款屬實,請勿用「作廢」來消除這個提示strong——作廢是說「這筆登記記錯了」,	30	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:167	訂單詳情頁「退款(對帳異常)」那一區	用它消警示會讓帳與事實分家。	13	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:188	訂單詳情頁「退款(對帳異常)」那一區	⚠️ strong算不出這張單的可退上限strong——請先重新整理一次;若仍然如此,請通知系統維護	31	算不出這張單還能退多少(可退上限)。請先重新整理一次;還是一樣就通知系統維護,並告訴他單號。在那之前,這一區的金額【不代表已經核對過】。	58	🔴 主視窗指定的校準例。原句只答了①而且很含糊(「可退上限」不是員工的話),②散在後面。改成:先講白話、再給兩步、最後保留那句承重的免責。**字會變長,而那是對的** —— 原句本來就答不出②。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:189	訂單詳情頁「退款(對帳異常)」那一區	並告知單號 strongdisplayIdstrong。在這之前,這一區塊的金額strong不代表strong	19	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:190	訂單詳情頁「退款(對帳異常)」那一區	已經核對過。	5	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:202	訂單詳情頁「退款(對帳異常)」那一區	非卡退款登記載入失敗——這張單可能有看不見的登記紀錄,請重新整理;	29	這張單的「非卡退款登記」讀不出來(不是沒有,是讀不到)。請重新整理;持續失敗請通知系統維護,而在那之前【不要重複登記】——這張單可能已經有你看不到的紀錄。	64	🔴 同上。原句「載入失敗」是工程詞,而最重要的那句(可能有看不見的紀錄 ⇒ 不要重登)被放在後面。把後果提前。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:203	訂單詳情頁「退款(對帳異常)」那一區	持續失敗請通知系統維護,勿在此期間重複登記。	20	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:217	訂單詳情頁「退款(對帳異常)」那一區	這張單的非卡退款登記太多,超過本頁一次能列出的上限,這一區塊不顯示任何一列。	35	這張單的非卡退款登記太多,超過這一頁能列的上限,所以一列都沒顯示。請通知系統維護直接從資料庫調完整紀錄。	48	「本頁」「這一區塊」兩個代稱指同一件事;合併。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:218	訂單詳情頁「退款(對帳異常)」那一區	請通知系統維護直接從資料庫調這張單的完整登記紀錄。	24	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:350	訂單詳情頁「退款(對帳異常)」那一區	這張單的退款登記超出可退上限。	14	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:351	訂單詳情頁「退款(對帳異常)」那一區	strong若這筆退款屬實,不要用作廢消除提示strong	16	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-refund-ledger-section.tsx:352	訂單詳情頁「退款(對帳異常)」那一區	——先確認收款有沒有登錄齊全。	12	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/print/blocked-sheet.tsx:98	列印出貨明細單/訂單明細時,那張單不能出貨 ⇒ 整頁擋下來的紙	本單於列印當下已不成立,紙上的一切內容都不得作為作業依據。	27	不改		🔵 這一整張是【防誤讀】寫的 —— 「這不是資料漏印,是刻意不印」正是在擋「空白 = 壞掉」。動它會把那個保護拆掉。
apps/admin/src/components/print/blocked-sheet.tsx:106	列印出貨明細單/訂單明細時,那張單不能出貨 ⇒ 整頁擋下來的紙	li不要依本單揀貨、裝箱或出貨。li	12	不改		🔵 這一整張是【防誤讀】寫的 —— 「這不是資料漏印,是刻意不印」正是在擋「空白 = 壞掉」。動它會把那個保護拆掉。
apps/admin/src/components/print/blocked-sheet.tsx:107	列印出貨明細單/訂單明細時,那張單不能出貨 ⇒ 整頁擋下來的紙	li不要把本單放進任何箱子。li	11	不改		🔵 這一整張是【防誤讀】寫的 —— 「這不是資料漏印,是刻意不印」正是在擋「空白 = 壞掉」。動它會把那個保護拆掉。
apps/admin/src/components/print/blocked-sheet.tsx:108	列印出貨明細單/訂單明細時,那張單不能出貨 ⇒ 整頁擋下來的紙	li把本單作廢並回報主管,由系統重新確認後再列印。li	21	不改		🔵 這一整張是【防誤讀】寫的 —— 「這不是資料漏印,是刻意不印」正是在擋「空白 = 壞掉」。動它會把那個保護拆掉。
apps/admin/src/components/print/blocked-sheet.tsx:109	列印出貨明細單/訂單明細時,那張單不能出貨 ⇒ 整頁擋下來的紙	li若貨已裝箱,先停下並確認箱內狀態,不要交給貨運。li	21	不改		🔵 這一整張是【防誤讀】寫的 —— 「這不是資料漏印,是刻意不印」正是在擋「空白 = 壞掉」。動它會把那個保護拆掉。
apps/admin/src/components/print/blocked-sheet.tsx:114	列印出貨明細單/訂單明細時,那張單不能出貨 ⇒ 整頁擋下來的紙	本頁不含品項明細。這不是資料漏印,是刻意不印。	20	不改		🔵 這一整張是【防誤讀】寫的 —— 「這不是資料漏印,是刻意不印」正是在擋「空白 = 壞掉」。動它會把那個保護拆掉。
apps/admin/src/components/orders/orders-cutoff-notice.tsx:84	訂單列表上方,欄位放不下時的提示	訂單列表(可左右捲動)	9	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/orders-cutoff-notice.tsx:156	訂單列表上方,欄位放不下時的提示	→ 右邊還有 cutColumns.length 欄沒有完整顯示:	11	右邊還有 N 欄沒完整顯示,可以左右捲動看。⚠️ 而【單價與金額】是被切在格子裡的,捲到底也不會出現 —— 要看完整金額請把視窗拉寬。	51	🔴 今天實測:1512 寬時單價只剩「NT$ 8,…」,而容器只溢出 0~32px ⇒ **捲動根本救不了那兩欄**。原句叫員工去捲,而捲了沒有用。
apps/admin/src/components/orders/order-hidden-notice.tsx:93	訂單列表:刷卡未付款的單預設藏起來時的說明	這張單的刷卡紀錄還是「未付款」,所以它strong預設不會出現在訂單列表strong——	27	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/order-hidden-notice.tsx:99	訂單列表:刷卡未付款的單預設藏起來時的說明	直接開一份含這類訂單的列表	13	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/shipment-hct-unknown-notice.tsx:46	出貨卡:新竹狀態不明時	(查詢功能未接:新竹傳輸方式待確認)	15	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/cancel-pending-refund-notice.ts:71	取消單上待退金額算不出來時的替代字	(金額異常,請看收款紀錄)	10	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
