在哪	情境	現在的字	現在字數	建議的字	建議字數	為什麼改
apps/admin/src/lib/orders/receipt-action-state.ts:144	登錄到貨之後的結果	寫入失敗,到貨可能已經寫進去了。請重新整理這張單確認目前的內容之後,再決定要不要重送。	39	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:254	登錄到貨之後的結果	你目前沒有權限撤銷到貨紀錄。請重新登入後再試。	21	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:255	登錄到貨之後的結果	這次撤銷被系統擋下(送出的資料不符合規則)。請重新整理這一頁再確認一次,不要重複按。	37	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:258	登錄到貨之後的結果	撤銷沒有完成(系統忙線或連線中斷)。請重新整理這一頁,確認那筆到貨還在不在,再決定要不要重按。	41	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:99	登錄到貨的動作層	[admin/orders/receipt] 品項歸屬查詢失敗	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:106	登錄到貨的動作層	[admin/orders/receipt] 品項不屬於這張訂單,拒絕寫入	13	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:189	登錄到貨的動作層	[admin/orders/receipt] 冪等產物查詢失敗	8	不改		🔴 判準④:這句帶專有詞(冪等)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/receipt-actions.ts:219	登錄到貨的動作層	這筆採購還能登錄 ${remaining} 件 —— 建議「到貨」填 ${remaining} 件、「溢收」填 ${surplus} 件。	19	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:276	登錄到貨的動作層	[admin/orders/receipt] 撤銷前品項歸屬查詢失敗	11	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:283	登錄到貨的動作層	[admin/orders/receipt] 品項不屬於這張訂單,拒絕撤銷	13	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:317	登錄到貨的動作層	[admin/orders/receipt] 撤銷用的冪等鍵查無產物	11	不改		🔴 判準④:這句帶專有詞(冪等)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/receipt-actions.ts:330	登錄到貨的動作層	[admin/orders/receipt] 撤銷目標歸屬查詢失敗	10	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:337	登錄到貨的動作層	[admin/orders/receipt] 撤銷目標不屬於這個品項,拒絕刪除	15	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:367	登錄到貨的動作層	[admin/orders/receipt] 撤銷:呼叫端契約違反	9	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-actions.ts:411	登錄到貨的動作層	[admin/orders/receipt] 品項不屬於這張訂單,拒絕回傳採購列	16	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/manual-refund-action-state.ts:52	登記一筆人工(非卡)退款之後的結果	卡上那筆的狀態我確認過了	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/manual-refund-action-state.ts:92	登記一筆人工(非卡)退款之後的結果	沒有權限或登入狀態已失效,退款登記沒有送出。	20	可能沒有權限,也可能登入過期了。退款登記沒有送出。先重新登入試一次;還是不行請找管理者。	39	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/payment/manual-refund-action-state.ts:93	登記一筆人工(非卡)退款之後的結果	表單內容不正確(管道、金額、原因或時間格式有誤),退款登記沒有送出。	28	表單有地方不對(管道、金額、原因或時間格式有誤),退款登記沒有送出。哪一格不對會標在旁邊。	38	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/payment/manual-refund-action-state.ts:95	登記一筆人工(非卡)退款之後的結果	這筆退款登記被拒絕,退款登記沒有送出。請重新整理頁面後再試一次。	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/manual-refund-action-state.ts:96	登記一筆人工(非卡)退款之後的結果	系統呼叫異常,請重新整理頁面確認這筆是否已登記;不要重複送出,並通知系統維護。	35	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/manual-refund-action-state.ts:97	登記一筆人工(非卡)退款之後的結果	退款登記未完成,可以用同一張表單稍後再試——系統會辨識這筆請求並回報它的現況;請不要重新整理頁面後另開新請求。	50	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/manual-refund-void-action-state.ts:48	作廢一筆人工退款登記之後的結果	沒有權限或登入狀態已失效,這筆登記沒有被作廢。	21	可能沒有權限,也可能登入過期了。這筆登記沒有被作廢。先重新登入試一次;還是不行請找管理者。	40	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/payment/manual-refund-void-action-state.ts:49	作廢一筆人工退款登記之後的結果	作廢理由不正確(不能空白,最多 200 字),這筆登記沒有被作廢。	23	不改		🔴 判準④:這句帶專有詞(作廢)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/manual-refund-void-action-state.ts:51	作廢一筆人工退款登記之後的結果	這次作廢被拒絕,這筆登記沒有被作廢。請重新整理頁面看它現在的狀態。	30	不改		🔴 判準④:這句帶專有詞(作廢)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/manual-refund-void-action-state.ts:52	作廢一筆人工退款登記之後的結果	有人同時在動這筆登記,這次沒有寫進去。請重新整理頁面看它現在的狀態,不要直接再按一次。	39	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/manual-refund-void-action-state.ts:53	作廢一筆人工退款登記之後的結果	系統呼叫異常,請重新整理頁面確認這筆是否已作廢;不要重複送出,並通知系統維護。	35	不改		🔴 判準④:這句帶專有詞(作廢)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/manual-refund-void-action-state.ts:54	作廢一筆人工退款登記之後的結果	作廢沒有完成。請先重新整理頁面看這筆的現況——它可能已經寫進去了,再決定要不要重送。	37	不改		🔴 判準④:這句帶專有詞(作廢)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:174	按「發起退款」之後的結果	沒有權限或登入狀態已失效,退款沒有發起。	18	可能沒有權限,也可能登入過期了。退款沒有發起。先重新登入試一次;還是不行請找管理者。	37	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/payment/refund-action-state.ts:175	按「發起退款」之後的結果	退款功能目前未啟用(上線前置未完成),退款沒有發起。	22	退款功能還沒開(上線前的設定還沒做完),退款沒有發起。	23	「目前未啟用(上線前置未完成)」是兩層括號的系統話;而「錢沒動」那半原文沒有, 這裡不補(它已說「沒有發起」)。
apps/admin/src/lib/payment/refund-action-state.ts:176	按「發起退款」之後的結果	表單內容不正確(金額、原因或確認碼格式有誤),退款沒有發起。	25	表單有地方不對(金額、原因或確認碼格式有誤),退款沒有發起。哪一格不對會標在旁邊。	35	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/payment/refund-action-state.ts:177	按「發起退款」之後的結果	確認碼與訂單號末 4 碼不符,退款沒有發起。請對照訂單號重新輸入。	27	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:187	按「發起退款」之後的結果	找不到這張訂單,退款沒有發起。請重新整理一次確認;	22	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:188	按「發起退款」之後的結果	若仍然找不到,請勿反覆重試,並通知系統維護。	19	若仍然找不到,不要一直重試,並通知系統維護。	19	「請勿」是公文詞。⚠️ 而這條【只換兩個字】, 已經很接近 Sean 說的「換皮」—— 我標出來讓他自己決定。
apps/admin/src/lib/payment/refund-action-state.ts:192	按「發起退款」之後的結果	這張訂單已標記為全額退款,不能再發起退款。退款沒有發起。	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:194	按「發起退款」之後的結果	這張訂單沒有信用卡交易紀錄,無法走線上退款。退款沒有發起、錢沒有動。	30	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:195	按「發起退款」之後的結果	這張訂單的付款狀態不允許退款,退款沒有發起。	20	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:199	按「發起退款」之後的結果	這張訂單有一筆退款被人工判定為「沒有動到錢」而還沒有人更正過判定,這次退款沒有發起、錢沒有動。	42	不改		🔴 判準④:這句帶專有詞(判定)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:200	按「發起退款」之後的結果	請先到「退款異常」清單確認那一筆的判定,更正之後再回來退款。	26	不改		🔴 判準④:這句帶專有詞(判定)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:204	按「發起退款」之後的結果	這張訂單有一筆退款已經被人工更正為「錢有動」—— 那筆錢已經退出去了,這次退款沒有發起、錢沒有動。	41	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:205	按「發起退款」之後的結果	若你確定還要再退一次,請先與主管確認金額,並到「退款異常」清單核對那一筆的紀錄。	35	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:210	按「發起退款」之後的結果	現在讀不到這張訂單的完整退款帳本或判定更正紀錄,為了安全先擋下,這次退款沒有發起、錢沒有動。	42	不改		🔴 判準④:這句帶專有詞(判定、帳本)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:211	按「發起退款」之後的結果	可以先重新整理試一次;若仍然一樣,請通知系統維護(這張單的退款紀錄可能已超過顯示上限,重整不會改善)。	45	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:213	按「發起退款」之後的結果	查不到 TapPay 交易現況(連線失敗或逾時),退款沒有發起、錢沒有動。稍後可再試一次。	31	不改		🔴 判準④:這句帶專有詞(TapPay)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:215	按「發起退款」之後的結果	TapPay 交易紀錄與這張訂單對不起來(筆數或識別碼異常),退款沒有發起。請停手並通知系統維護。	37	不改		🔴 判準④:這句帶專有詞(TapPay)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:217	按「發起退款」之後的結果	TapPay 端的交易狀態不允許退款(可能已退畢、已取消或待付款),退款沒有發起。請先到 TapPay 後台對帳。	36	不改		🔴 判準④:這句帶專有詞(TapPay)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:219	按「發起退款」之後的結果	TapPay 端已無可退金額,退款沒有發起。若你剛才有送過退款,請重新整理查看這張單的退款狀態,勿直接重發。	42	不改		🔴 判準④:這句帶專有詞(TapPay、可退)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:220	按「發起退款」之後的結果	這張訂單的退款帳本已滿(已標記全額退款),退款沒有發起。	24	不改		🔴 判準④:這句帶專有詞(帳本)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:222	按「發起退款」之後的結果	這張訂單已有一筆退款正在處理中,這次沒有重複發起。請稍後重新整理查看結果;若超過 30 分鐘未完成,會出現在異常清單。	50	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:231	按「發起退款」之後的結果	退款金額超過這張單目前可受理的上限,退款沒有發起、錢沒有動。請降低金額後重新發起。	37	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:233	按「發起退款」之後的結果	這張單有另一筆退款佔著額度(處理中,或已失敗但需人工判定),所以這次被擋下、錢沒有動。請先到下方「退款紀錄」把那一筆處理掉,再回來發起。	58	不改		🔴 判準④:這句帶專有詞(判定、額度)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:238	按「發起退款」之後的結果	算不出這張單目前的退款額度,退款沒有發起、錢沒有動。這不是金額問題,請勿重試,並通知系統維護。	41	不改		🔴 判準④:這句帶專有詞(額度)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:240	按「發起退款」之後的結果	TapPay 尚未請款,這筆退款現在還不能做(這次的請求已作廢、錢沒有動)。請款完成後,請重新發起一次。	38	不改		🔴 判準④:這句帶專有詞(TapPay、作廢、請款)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:242	按「發起退款」之後的結果	TapPay 拒絕了這筆退款(金額超出可退範圍),這筆已記為失敗、錢沒有動。請先對帳確認可退金額,再重新發起。	41	不改		🔴 判準④:這句帶專有詞(TapPay、可退)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:244	按「發起退款」之後的結果	退款請求沒有送出(參數未通過檢查),這筆已記為失敗、錢沒有動。修改內容後可重新發起。	36	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:246	按「發起退款」之後的結果	TapPay 受理的金額與登記金額不符,這筆退款已保留為「狀態確認中」。請通知系統維護走對帳流程;不要重複發起。	43	不改		🔴 判準④:這句帶專有詞(TapPay)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:248	按「發起退款」之後的結果	退款狀態不明(請求可能已送達 TapPay)。請勿重試、勿重複發起;這筆會保留在處理中,請通知系統維護對帳確認。	42	不改		🔴 判準④:這句帶專有詞(TapPay)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:250	按「發起退款」之後的結果	退款結果已確定(錢沒有動),但帳本結案沒有完成;這筆會保留在處理中並進異常清單。請通知系統維護,勿重複發起。	47	不改		🔴 判準④:這句帶專有詞(帳本)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:252	按「發起退款」之後的結果	金流環境設定不完整或不一致,退款沒有發起。這不是重試會好的問題,請通知管理者檢查環境設定。	41	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:270	按「發起退款」之後的結果	資料庫設定與預期不符,請通知維護。退款沒有發起、錢沒有動。	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:274	按「發起退款」之後的結果	系統呼叫異常,退款狀態請以訂單頁與對帳為準。若你是把同一張退款表單重新送出,可能是可退金額已變動——請重新整理頁面後重新發起;否則請停手並通知系統維護,不要重複按送出。	76	不改		🔴 判準④:這句帶專有詞(可退)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-action-state.ts:329	按「發起退款」之後的結果	另外:這筆的內部紀錄有沒有寫成,系統無法確認。請立刻截圖這個畫面,並通知系統維護。	36	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:362	按「發起退款」之後的結果	(剛才算出來的上限是 ${cap} 元。這是系統容許的最高額,不是這次該退的金額 ——	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-action-state.ts:363	按「發起退款」之後的結果	請先確認這次要退多少,再重送;這個數字也會隨其他退款變動。)	26	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-actions.ts:290	退款動作層	退款帳本被截斷 ⇒ 看不完整 ⇒ 擋下	13	不改		🔴 判準④:這句帶專有詞(帳本)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-actions.ts:301	退款動作層	更正紀錄型別漂移 ⇒ 擋下	10	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-actions.ts:311	退款動作層	卡住的人工判定擋下退款	11	不改		🔴 判準④:這句帶專有詞(判定)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-actions.ts:349	退款動作層	卡住判定閘讀取失敗(fail-closed 擋下)	11	不改		🔴 判準④:這句帶專有詞(判定)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-actions.ts:504	退款動作層	initiate 回傳未分派的碼:${JSON.stringify(unhandled).slice(0, 200)}	7	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-actions.ts:533	退款動作層	TapPay pre-flight 拒絕:${clipCodepoints(error.message, 400)}	2	不改		🔴 判準④:這句帶專有詞(TapPay)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-actions.ts:670	退款動作層	refund 回傳非三態(合約漂移)	9	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-recovery-actions.ts:277		帳本列缺母單編號(FK 應保證;資料異常)	15	不改		🔴 判準④:這句帶專有詞(帳本)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/payment/refund-recovery-actions.ts:309		Record 對帳:record_refunded_before=${row.recordRefundedBefore};	2	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-recovery-actions.ts:310		refunded_amount 現值=${judgment.refundedNow};差額=0(未執行);	7	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-recovery-actions.ts:340		finalize 回應解析失敗(交易可能已完成)	13	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/payment/refund-recovery-actions.ts:368		finalize 回非預期碼或語意漂移	10	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/error-message.ts:24		未知錯誤(無法序列化)	9	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-action-audit.ts:62		請先在右上角選擇操作人員,再送出一次。	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-action-audit.ts:63		(若已經選過還是看到這則訊息,請重新整理頁面或重新登入 —— 那表示這次的連線沒被認出來。)	38	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-actions.ts:152		找不到這些品項所屬的訂單,無法出貨(請重新整理後再試)。	24	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-actions.ts:153		這些品項不屬於同一位客人,不能裝同一箱。	18	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-actions.ts:394		請先打電話向新竹確認【他們沒有這張單】, 並把確認結果打進去(例:「14:30 電話向新竹陳小姐確認, 查無此單」)。	41	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-actions.ts:395		🔴 沒有那通電話就不要放回草稿 —— 放回去之後有人重送, 代價是客人收到兩箱。	31	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-actions.ts:411		這箱的箱號格式不對, 不能放回草稿。這不是你操作錯, 請回報並附這行字。[shipment_reference]	30	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-error-view.ts:60		有品項裝超過「可出貨數量」了 —— 可出貨 = 已到貨 − 已出貨 − 已裝在其他還沒出貨的箱裡。	33	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-error-view.ts:64		請看下方「詳細」裡每個品項可出幾件,把數量調到那個數以內再送一次。	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:89	把箱子送去新竹之後的結果	(它的回應裡沒有可讀的錯誤訊息)	14	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:115	把箱子送去新竹之後的結果	新竹未開通(缺 HCT_API_ENDPOINT / HCT_API_ACCOUNT / HCT_API_PASSWORD 其中之一)	10	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:128	把箱子送去新竹之後的結果	這一箱已作廢,不能送新竹	11	不改		🔴 判準④:這句帶專有詞(作廢)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:149	把箱子送去新竹之後的結果	新竹未開通(HCT_SUBMIT_ENABLED 未設為 true)	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:188	把箱子送去新竹之後的結果	這幾欄超長、送出去會被截掉:${built.truncated.join(' / ')}	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:194	把箱子送去新竹之後的結果	${parts.join(' —— ')} —— 看過再按一次就送	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:271	把箱子送去新竹之後的結果	送出去了而不知道結果 —— 不要重按,請用查詢補問新竹貨號。	24	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:272	把箱子送去新竹之後的結果	(而這次連原因都沒能記進資料庫:${toMessage(reasonErr)} —— 請回報這行字)	20	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:329	把箱子送去新竹之後的結果	新竹回了失敗:${hctErrHint(result.raw)} —— 修好再按一次	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/shipping/shipment-submit-hct-action.ts:334	把箱子送去新竹之後的結果	送出去了而不知道結果 —— 不要重按,請用查詢補問新竹貨號	24	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
